2
5000 8000
ALK GRB 313.65
ALL BVW 185.80
ALM EDW 72.96
ALN GPJ 511.70
ALO DBQ 145.66
ALP HCF 265.37
ALQ GOZ 686.15
ALR EUO 362.79
ALS GGV 575.29
ALT DDP 608.02
ALU COU 984.63
ALV BHI 829.64
ALW ABA 868.47
ALX FUW 987.30
ALY FOM 781.38
ALZ GRF 4.42
AMA AOK 996.07
AMB CVF 371.00
AMC EVU 531.78
AMD GBO 127.10
AME GHJ 203.40
AMF FWD 952.37
AMG EGJ 150.45
AMH DVA 185.46
AMI BAY 21.02
AMJ AVT 260.47
AMK FYI 274.36
AML AYM 364.31
AMM CGG 853.90
AMN HFS 495.58
AMO CAA 116.22
AMP BVH 893.84
AMQ EFC 17.26
AMR BWI 181.32
AMS DGK 311.06
AMT CDR 553.53
AMU CWS 27.93
AMV EFE 567.54
AMW CLO 148.11
AMX CVP 904.13
AMY EEE 873.53
AMZ BRX 174.79
ANA AKC 581.76
ANB FHF 781.29
ANC DZJ 217.76
AND FAS 234.47
ANE GEX 940.39
ANF DDL 446.27
ANG GCD 720.19
ANH EQG 833.74
ANI FNJ 426.57
ANJ ARJ 709.25
ANK FZB 56.69
ANL CSN 632.89
ANM ACC 520.36
ANN BCN 537.46
ANO DVD 28.67
ANP BOD 868.82
ANQ AAM 741.92
ANR BLG 209.62
ANS GNQ 90.51
ANT GOX 457.19
ANU ANI 735.93
ANV CXP 315.60
ANW HHU 858.10
ANX HDJ 814.43
ANY DNC 700.13
ANZ DAH 902.70
AOA HGY 127.51
AOB HCD 288.68
AOC FWO 399.66
AOD GEZ 205.28
AOE FOT 28.96
AOF DCI 365.81
AOG DTV 51.27
AOH GES 730.56
AOI FPF 183.05
AOJ EVB 499.73
AOK CHA 254.74
AOL DXK 702.16
AOM CLV 128.20
AON EFA 724.55
AOO EAW 203.79
AOP EQK 748.69
AOQ ADL 326.38
AOR FWE 142.70
AOS HCO 190.55
AOT CXB 644.94
AOU BPJ 585.61
AOV ABO 990.39
AOW FCQ 749.70
AOX GWA 105.71
AOY AUY 72.23
AOZ FZT 178.79
APA GPB 584.30
APB BWD 766.85
APC ASZ 724.58
APD EFD 540.85
APE ALU 282.19
APF DGZ 423.19
APG CJD 653.95
APH BEW 825.17
API CZJ 913.88
APJ BYB 391.06
APK EQZ 644.38
APL BDH 626.94
APM EVP 265.93
APN AGN 653.89
APO GVS 338.09
APP DIE 155.70
APQ FIU 40.67
APR CGR 634.91
APS FVC 741.01
APT FLG 857.14
APU GMR 955.86
APV DLT 958.81
APW HAS 9.75
APX FMX 781.35
APY DIF 581.14
APZ DUE 913.68
AQA GAG 717.39
AQB GYE 946.65
AQC ACC 273.27
AQD DRT 812.05
AQE CQI 760.26
AQF ADP 697.29
AQG GTW 53.84
AQH BGF 729.70
AQI ABK 998.52
AQJ AQW 145.09
AQK CPA 194.22
AQL APH 727.71
AQM DIW 214.92
AQN GVE 454.64
AQO CSM 845.00
AQP DVR 185.11
AQQ ESE 908.95
AQR GTY 872.75
AQS FDX 895.83
AQT AXL 120.63
AQU EQY 816.09
AQV EYR 620.55
AQW CAZ 477.16
AQX FUU 991.82
AQY FLZ 264.14
AQZ DGE 593.58
ARA FDX 404.33
ARB EWB 825.85
ARC GNH 157.40
ARD CJG 578.84
ARE EBR 812.33
ARF FDW 891.83
ARG EEC 59.23
ARH ATM 230.55
ARI AEO 776.43
ARJ GHO 774.68
ARK GRZ 332.63
ARL DLR 625.97
ARM CQL 909.00
ARN FLA 612.52
ARO CXM 918.22
ARP DIT 958.54
ARQ HCH 17.96
ARR FTO 105.33
ARS HBL 391.92
ART CQK 504.80
ARU BNB 775.16
ARV FCH 252.58
ARW EXL 651.77
ARX EEN 952.98
ARY GCK 834.32
ARZ ENF 184.25
ASA BNJ 449.93
ASB DIJ 303.78
ASC EKS 591.54
ASD BLP 859.12
ASE EPY 612.97
ASF EOZ 995.84
ASG CEN 929.10
ASH FCW 969.81
ASI FQR 112.38
ASJ FOK 852.32
ASK ASX 361.80
ASL CAF 885.46
ASM AHO 588.04
ASN FIA 605.30
ASO FWE 893.14
ASP GJR 79.87
ASQ EZM 763.31
ASR CSR 865.52
ASS FQU 627.00
AST FXT 191.66
ASU FOH 869.35
ASV BUB 870.90
ASW AQH 452.20
ASX CED 446.51
ASY BVO 642.36
ASZ CQA 615.65
ATA AEH 567.27
ATB CUL 344.78
ATC AAI 503.07
ATD BLL 68.24
ATE HDB 903.16
ATF CLJ 902.80
ATG ESN 695.29
ATH DHU 184.85
ATI DXZ 820.01
ATJ ALC 562.27
ATK GXQ 727.54
ATL EKL 814.85
ATM DRT 600.93
ATN BAG 907.86
ATO DML 887.25
ATP CRK 738.02
ATQ EWE 188.15
ATR GCO 936.87
ATS CTR 32.89
ATT FIR 250.96
ATU COM 316.75
ATV BUI 766.05
ATW CDM 412.65
ATX GVR 497.86
ATY DNA 654.45
ATZ ETC 412.59
AUA EBP 820.36
AUB FDX 725.27
AUC EXL 815.86
AUD CLZ 155.15
AUE GKC 320.16
AUF BFZ 484.67
AUG FEW 975.98
AUH BID 199.54
AUI CBY 753.70
AUJ DAR 108.45
AUK DQG 94.82
AUL DCU 246.01
AUM GMU 152.44
AUN BAN 67.19
AUO EKO 967.54
AUP AFM 188.89
AUQ CCM 870.75
AUR AAN 699.75
AUS ASX 710.81
AUT EPE 716.76
AUU AFN 748.09
AUV DOP 539.29
AUW AJB 786.50
AUX FYQ 896.47
AUY CSY 679.89
AUZ DRC 774.17
AVA CZQ 206.46
AVB BIG 445.72
AVC DXR 927.58
AVD BHG 165.79
AVE CSB 319.73
AVF FZT 10.06
AVG BLU 595.89
AVH AZV 40.62
AVI BCL 728.25
AVJ DXI 337.69
AVK FZU 122.34
AVL DIA 363.93
AVM DOA 942.86
AVN DJN 776.08
AVO AAZ 755.88
AVP BVM 560.99
AVQ CZV 733.96
AVR DSK 484.76
AVS CCE 846.66
AVT CLC 883.71
AVU BCB 495.81
AVV GEK 520.41
AVW BQL 930.63
AVX BIE 561.93
AVY BYO 481.94
AVZ CQN 298.74
AWA DWU 103.65
AWB GWX 840.17
AWC CKO 413.64
AWD CXD 832.78
AWE GMK 330.03
AWF EBV 295.39
AWG EMA 564.01
AWH DPC 52.58
AWI HJP 594.24
AWJ FYB 740.60
AWK DQJ 157.10
AWL AEW 345.27
AWM BBT 985.56
AWN EPJ 73.66
AWO DIF 970.35
AWP DOI 562.36
AWQ AJT 362.13
AWR DVD 284.03
AWS EMS 182.31
AWT DVN 945.30
AWU GAO 674.12
AWV AGJ 903.38
AWW AWY 184.38
AWX GGC 139.37
AWY ELH 55.77
AWZ DXO 32.19
AXA GBQ 304.50
AXB ANV 627.66
AXC CFC 448.19
AXD CTJ 248.14
AXE BOK 237.25
AXF BXQ 656.07
AXG ANZ 376.55
AXH DID 538.68
AXI HAS 383.97
AXJ DFD 398.26
AXK AGI 51.72
AXL FIW 623.26
AXM BWQ 421.13
AXN FZM 341.76
AXO DOD 806.13
AXP DOY 180.34
AXQ BEU 78.46
AXR DYN 891.27
AXS ALH 672.85
AXT DMW 108.72
AXU EEY 113.43
AXV ANM 0.05
AXW FSZ 31.95
AXX EJG 375.89
AXY FOX 349.75
AXZ CFS 801.05
AYA FPN 239.32
AYB DOF 964.62
AYC AYP 513.99
AYD EZL 464.39
AYE BFU 843.86
AYF DHW 757.81
AYG BWM 779.78
AYH CKD 448.98
AYI DDQ 115.53
AYJ GHK 689.78
AYK FXF 813.06
AYL GRD 209.50
AYM FGE 392.08
AYN AUP 587.97
AYO FUC 686.59
AYP DVR 470.35
AYQ FEO 140.38
AYR AQV 913.40
AYS GCY 741.37
AYT FFN 138.02
AYU BJZ 349.58
AYV EIY 507.56
AYW CZE 871.95
AYX ADW 745.52
AYY HFU 4.80
AYZ CQT 707.00
AZA CLN 452.17
AZB GOF 826.40
AZC CDI 665.43
AZD AHU 913.12
AZE EYU 966.92
AZF BCC 441.46
AZG ASS 818.46
AZH DLV 925.20
AZI BYW 59.70
AZJ BJS 472.10
AZK EKC 122.58
AZL BEZ 702.17
AZM HBL 263.24
AZN CRL 472.58
AZO EJU 210.03
AZP BUY 249.44
AZQ DVK 259.61
AZR DSI 669.97
AZS EXH 653.74
AZT DBN 440.59
AZU GTH 966.57
AZV HET 891.49
AZW CMF 400.43
AZX DNA 835.42
AZY BCZ 879.92
AZZ CJQ 196.46
BAA HFB 450.71
BAB CBS 487.59
BAC DND 509.84
BAD CYL 145.53
BAE GQZ 466.80
BAF DXP 382.07
BAG AHW 634.33
BAH FQM 814.98
BAI CVL 798.66
BAJ CGP 72.27
BAK CAY 464.66
BAL EGB 877.31
BAM BWZ 943.98
BAN FNY 652.27
BAO HFM 20.26
BAP DCS 316.96
BAQ ARN 747.37
BAR BBU 348.46
BAS BCX 91.77
BAT BGZ 140.61
BAU DJH 216.00
BAV ABH 284.98
BAW BZW 738.25
BAX FLZ 301.93
BAY DPC 682.57
BAZ GZR 465.67
BBA GJI 501.49
BBB GSX 175.85
BBC GEE 219.23
BBD ALQ 432.89
BBE HJT 3.90
BBF AEY 37.52
BBG HIK 717.92
BBH BLH 172.02
BBI DWP 207.01
BBJ DKN 368.26
BBK CMN 998.84
BBL ACK 273.34
BBM FTG 243.77
BBN DXJ 437.53
BBO AMI 276.52
BBP EDT 237.10
BBQ DXV 409.70
BBR GHI 387.00
BBS CYN 568.12
BBT DGS 359.00
BBU GWY 733.26
BBV CEP 486.82
BBW DIA 946.02
BBX CLR 424.40
BBY AXV 298.52
BBZ BPW 739.56
BCA DXQ 936.48
BCB EMJ 361.50
BCC BWI 915.22
BCD GEP 270.12
BCE BBV 29.28
BCF AJR 133.28
BCG DAB 83.70
BCH CHA 394.97
BCI CPH 503.70
BCJ ABX 550.89
BCK AET 314.01
BCL DMP 15.20
BCM AMA 187.12
BCN HHC 740.10
BCO GKC 559.31
BCP BJV 110.04
BCQ FEX 819.60
BCR HDZ 839.57
BCS BLH 761.15
BCT FZN 90.10
BCU DLY 780.44
BCV CCL 556.46
BCW AFN 907.19
BCX BPY 843.01
BCY BCO 32.44
BCZ BMJ 811.39
BDA DYH 758.66
BDB GUC 933.52
BDC FMW 429.71
BDD AJV 594.94
BDE CTE 643.84
BDF BZT 811.86
BDG CFN 667.09
BDH EEQ 525.32
BDI CHI 924.65
BDJ ATP 382.20
BDK FSS 2.32
BDL BKQ 732.76
BDM FVE 53.62
BDN FIS 483.94
BDO BIB 296.72
BDP AUS 596.04
BDQ GJS 285.44
BDR EGH 164.68
BDS DLA 693.75
BDT FOP 194.74
BDU CZL 791.65
BDV BHQ 964.56
BDW FXK 985.08
BDX DLL 50.51
BDY EVV 268.82
BDZ DDJ 778.35
BEA DQT 371.37
BEB FSD 344.19
BEC EEF 413.93
BED BPA 674.58
BEE DBI 286.98
BEF FIG 929.56
BEG GOF 127.22
BEH DCR 778.13
BEI FKA 17.39
BEJ DIU 158.57
BEK FKZ 306.53
BEL GEB 594.83
BEM GSK 776.54
BEN BIE 364.87
BEO AZY 241.57
BEP DXU 480.03
BEQ DPE 981.37
BER BHZ 364.98
BES FWE 815.87
BET CKZ 433.01
BEU BWJ 473.70
BEV ADO 165.83
BEW GND 620.34
BEX AEW 585.42
BEY BCX 80.37
BEZ ABQ 937.34
BFA ETT 194.16
BFB FBQ 5.55
BFC DAO 341.03
BFD EVK 343.11
BFE FLA 840.68
BFF FGW 359.07
BFG DON 974.41
BFH FYY 544.41
BFI EBM 927.13
BFJ CDF 220.18
BFK FIN 503.51
BFL FNU 165.27
BFM CCR 329.98
BFN DNV 252.16
BFO FVY 821.72
BFP EJD 287.81
BFQ GKV 721.68
BFR DWX 477.15
BFS CZY 663.79
BFT CRG 808.84
BFU EQX 970.45
BFV GQO 653.58
BFW BSH 219.00
BFX GVL 898.66
BFY CUM 338.93
BFZ AWY 710.48
BGA FVB 504.86
BGB HEA 293.34
BGC BIS 953.49
BGD FSZ 735.76
BGE DMR 898.53
BGF EZT 281.66
BGG BHY 316.94
BGH GOG 9.96
BGI EUI 742.60
BGJ BYF 812.26
BGK EIY 313.75
BGL EVZ 657.91
BGM AZI 990.87
BGN GKQ 842.40
BGO ALC 675.42
BGP GMM 499.28
BGQ AXR 755.68
BGR DJH 342.17
BGS GDL 665.17
BGT EAS 811.42
BGU GJT 265.02
BGV GSZ 510.95
BGW FCM 15.43
BGX BEX 889.75
BGY CHT 666.76
BGZ GNK 471.09
BHA EHO 494.89
BHB HHO 676.79
BHC EVW 849.10
BHD FQJ 142.60
BHE AUU 235.60
BHF ASM 31.85
BHG FOK 925.07
BHH AON 27.49
BHI FTS 778.99
BHJ BDA 480.99
BHK GFJ 95.53
BHL BQE 953.03
BHM AYG 676.39
BHN AZR 868.99
BHO ANW 871.83
BHP EMI 650.71
BHQ GBV 632.61
BHR GRZ 179.52
BHS FHC 173.75
BHT DJZ 333.28
BHU EGG 291.04
BHV CKA 727.68
BHW ATX 66.20
BHX BHO 969.89
BHY ADK 757.61
BHZ AMC 379.78
BIA GWF 606.35
BIB GVY 127.62
BIC GXI 502.63
BID FQC 116.46
BIE COB 500.22
BIF GWH 68.22
BIG BRI 421.72
BIH GSX 941.59
BII FRR 896.90
BIJ FPY 331.87
BIK BKT 967.05
BIL EXY 567.58
BIM FOD 814.72
BIN FHY 205.50
BIO FFS 151.88
BIP DFR 589.00
BIQ ELZ 81.61
BIR HBS 531.54
BIS HCQ 40.29
BIT APN 285.74
BIU CPG 578.69
BIV ABQ 0.39
BIW AVE 928.74
BIX DUQ 759.41
BIY GCU 543.89
BIZ BQD 177.10
BJA GPX 150.83
BJB EHW 707.73
BJC DYX 445.68
BJD BQQ 864.94
BJE CPE 825.55
BJF BBO 682.84
BJG EDI 497.61
BJH FPU 818.44
BJI AQC 189.42
BJJ CRR 241.94
BJK AWN 621.66
BJL CBO 932.05
BJM GDN 674.87
BJN CUE 539.56
BJO EMC 946.27
BJP GZF 893.23
BJQ ADS 624.87
BJR DBC 389.71
BJS CRX 677.71
BJT AMO 995.16
BJU EDS 199.15
BJV BNP 573.94
BJW AWS 219.42
BJX BIA 398.19
BJY AOB 660.08
BJZ GSC 340.48
BKA DIR 373.02
BKB HCF 159.18
BKC BVE 127.52
BKD DNO 430.18
BKE DMB 742.45
BKF COQ 334.43
BKG FOW 87.90
BKH EIB 601.40
BKI GXD 305.83
BKJ CTE 595.92
BKK EYK 438.09
BKL DCY 528.79
BKM DZV 889.29
BKN BXP 229.88
BKO FAI 894.16
BKP EOD 158.16
BKQ EOS 169.94
BKR BQG 478.60
BKS DHU 343.13
BKT FGW 534.78
BKU EVX 559.24
BKV GZI 616.42
BKW EQP 920.39
BKX FWW 739.79
BKY HHJ 141.44
BKZ EJP 58.25
BLA ACE 832.62
BLB FGH 564.09
BLC GNE 677.55
BLD FFO 598.32
BLE CYY 691.38
BLF BRO 165.95
BLG BFB 400.87
BLH BCY 322.31
BLI DBH 43.90
BLJ AMC 156.62
BLK FKQ 216.87
BLL ADA 250.28
BLM ANV 317.91
BLN DJZ 690.53
BLO BVI 652.83
BLP HGJ 202.41
BLQ ELM 662.86
BLR APE 534.40
BLS GVW 724.00
BLT EHF 402.70
BLU ETT 216.25
BLV ENW 440.23
BLW DWG 703.76
BLX HBI 851.68
BLY BFY 110.20
BLZ EAD 350.80
BMA CEE 108.38
BMB FXE 627.85
BMC ESS 918.20
BMD FCX 212.69
BME EGC 557.72
BMF FBF 383.52
BMG CQY 508.65
BMH GVP 51.57
BMI AQL 377.68
BMJ GMZ 975.08
BMK EGY 349.96
BML AOI 538.09
BMM FWZ 668.42
BMN EGC 801.39
BMO CIL 561.59
BMP EYW 269.21
BMQ GZB 80.32
BMR BUI 423.32
BMS FIN 542.49
BMT CAW 896.59
BMU GLV 214.64
BMV FLP 647.85
BMW HIC 361.55
BMX FUX 282.98
BMY BFB 317.21
BMZ COB 496.69
BNA HDU 0.43
BNB CUN 884.41
BNC FHS 588.08
BND BYT 447.48
BNE EMF 1.52
BNF GSM 146.69
BNG CYZ 777.28
BNH EYC 407.40
BNI CPJ 369.55
BNJ HBN 747.04
BNK GQR 911.14
BNL FJH 634.52
BNM CPI 257.83
BNN DSI 338.96
BNO FHD 339.09
BNP FWA 405.73
BNQ FYK 33.96
BNR FGU 171.90
BNS EWO 139.47
BNT ARJ 262.27
BNU BIN 663.11
BNV FZK 549.87
BNW DBZ 142.50
BNX DUJ 87.22
BNY FBU 588.30
BNZ BXW 423.28
BOA BEA 392.67
BOB ABY 99.17
BOC FQR 138.83
BOD GDK 389.06
BOE BFZ 437.31
BOF FDV 980.97
BOG CLB 248.45
BOH AFO 420.35
BOI GVM 99.29
BOJ BVS 855.95
BOK CWK 418.63
BOL BQW 366.32
BOM ANQ 853.65
BON AVB 236.71
BOO DMM 451.32
BOP GNF 268.43
BOQ EPS 44.84
BOR EZN 494.49
BOS GZB 132.78
BOT CZH 988.64
BOU CXL 5.38
BOV COU 204.88
BOW FTB 449.52
BOX HFT 968.80
BOY FRG 634.89
BOZ ANP 311.21
BPA GBY 721.14
BPB FRK 778.19
BPC EFI 294.60
BPD GUR 343.79
BPE DVB 165.46
BPF BNR 753.44
BPG HCK 470.39
BPH AMF 557.50
BPI GVM 458.53
BPJ CBO 173.26
BPK GEG 679.27
BPL EGT 881.28
BPM AAI 493.93
BPN EGX 841.12
BPO AJA 1.88
BPP DKP 345.88
BPQ FOP 156.92
BPR CFW 461.35
BPS CTU 629.53
BPT GRC 360.97
BPU EDM 907.93
BPV EEZ 168.83
BPW DXH 525.88
BPX FCJ 981.50
BPY CSJ 436.00
BPZ CGT 611.85
BQA GJX 859.95
BQB AOZ 407.59
BQC HFJ 506.74
BQD BHE 646.24
BQE AVS 564.57
BQF DER 395.17
BQG CZC 606.75
BQH FJO 336.54
BQI BQL 988.71
BQJ GXK 194.80
BQK CAL 138.97
BQL EFD 438.49
BQM EYY 89.97
BQN FVX 976.31
BQO FQU 901.81
BQP DTG 804.76
BQQ DVN 244.82
BQR AGA 279.17
BQS FTT 624.59
BQT FUQ 260.18
BQU AUQ 244.57
BQV CFC 74.18
BQW DPG 838.92
BQX ECH 251.13
BQY GUR 435.27
BQZ FPH 887.80
BRA FXD 973.09
BRB DYG 566.14
BRC AWZ 73.33
BRD DSS 916.07
BRE DCD 294.14
BRF FTW 900.43
BRG GJW 260.23
BRH FDY 454.04
BRI ECS 432.06
BRJ FYL 237.50
BRK BSY 533.10
BRL FGT 855.00
BRM CXP 49.44
BRN FDO 363.18
BRO CDU 879.10
BRP AIL 386.01
BRQ CIH 904.32
BRR ECJ 78.77
BRS GQM 821.65
BRT EIT 116.32
BRU CML 879.20
BRV FVR 981.79
BRW FHV 523.39
BRX AUZ 187.77
BRY DTF 313.57
BRZ BNG 959.13
BSA ECJ 900.48
BSB HKA 545.75
BSC DIJ 247.30
BSD FXO 598.16
BSE FBL 486.96
BSF GCU 142.12
BSG FCJ 99.85
BSH FES 532.45
BSI HFP 379.26
BSJ DGO 364.33
BSK BLC 829.04
BSL AJK 561.41
BSM HHE 945.47
BSN DIU 307.89
BSO ENM 337.97
BSP FRX 596.28
BSQ AVJ 408.19
BSR CVD 351.90
BSS AAG 378.01
BST EFP 272.46
BSU CEC 934.24
BSV HBD 583.29
BSW CIO 798.99
BSX GER 282.63
BSY BOI 928.04
BSZ BBG 763.75
BTA FSU 320.12
BTB EHZ 109.52
BTC EPA 401.38
BTD FVK 851.67
BTE BSE 11.48
BTF EXS 141.33
BTG GKH 917.03
BTH BGY 565.73
BTI FQX 443.30
BTJ GBY 487.05
BTK DAG 416.29
BTL EGV 738.67
BTM DDY 349.61
BTN ECJ 720.58
BTO HCC 995.30
BTP CHI 34.73
BTQ GOG 300.06
BTR AFP 744.53
BTS BLK 725.20
BTT AAU 604.33
BTU GTQ 534.72
BTV AGU 483.40
BTW BWS 238.90
BTX GTW 910.32
BTY HAG 50.85
BTZ CNZ 386.78
BUA DTX 631.24
BUB EOR 845.96
BUC ELQ 310.27
BUD AVL 258.50
BUE GKI 377.92
BUF GDR 784.51
BUG GHS 437.50
BUH DWW 542.96
BUI BPP 452.28
BUJ FMJ 226.42
BUK DLV 56.47
BUL BIF 602.29
BUM BWN 86.01
BUN FLU 304.61
BUO GDF 73.51
BUP ASI 767.53
BUQ DZX 980.36
BUR APZ 685.61
BUS BDK 507.08
BUT HEQ 923.24
BUU BDV 400.88
BUV AHI 890.03
BUW GWX 400.31
BUX AKA 328.12
BUY ARM 907.32
BUZ CBC 3.13
BVA CUW 591.41
BVB EBM 586.21
BVC GBB 281.55
BVD CTN 977.81
BVE GSK 745.74
BVF DWL 386.87
BVG FIM 522.36
BVH GJG 343.78
BVI CNN 343.64
BVJ BEY 241.48
BVK GRG 974.78
BVL DSO 909.94
BVM FQK 891.55
BVN HGA 391.22
BVO BEH 956.13
BVP BQO 926.20
BVQ BVT 326.81
BVR DGE 388.49
BVS CKS 566.76
BVT DWD 453.99
BVU GBE 275.16
BVV BQM 202.14
BVW BKI 76.87
BVX FAX 317.52
BVY BIR 976.47
BVZ AEW 492.08
BWA AHU 854.05
BWB BJC 489.88
BWC GPQ 803.61
BWD DLM 871.52
