1
1000 4000
AGN BIK 995.02
AGO ADD 437.00
AGP ASG 491.97
AGQ AIC 546.78
AGR AEF 246.78
AGS BAG 467.30
AGT AUS 993.73
AGU BJW 347.10
AGV AZS 815.82
AGW AYM 127.64
AGX AST 343.30
AGY BJC 507.83
AGZ BGF 192.83
AHA AQP 735.28
AHB ACA 565.36
AHC ABM 461.39
AHD AHJ 589.46
AHE ATC 831.19
AHF BER 30.17
AHG BAT 927.06
AHH BEI 249.07
AHI AYI 307.29
AHJ BEL 276.78
AHK AKA 715.64
AHL AMQ 918.12
AHM AFM 38.96
AHN ABF 851.68
AHO BEX 824.06
AHP BJY 968.68
AHQ APO 252.35
AHR BBY 863.38
AHS AYN 94.43
AHT BJE 102.69
AHU ALA 861.33
AHV AHJ 630.64
AHW AML 573.33
AHX APY 673.31
AHY ANX 449.55
AHZ AUA 862.06
AIA AOG 369.73
AIB AIN 172.00
AIC BBS 205.12
AID AKL 282.52
AIE ASE 395.24
AIF AEH 915.57
AIG BIM 948.77
AIH AZW 688.37
AII AEC 558.85
AIJ AAS 295.86
AIK AAC 87.44
AIL ACZ 535.61
AIM AJK 133.25
AIN AKV 704.91
AIO ABX 649.57
AIP BJU 911.53
AIQ ANP 674.19
AIR AKY 591.51
AIS BDB 270.74
AIT BKO 235.55
AIU AEI 452.27
AIV ARO 640.61
AIW AJQ 93.60
AIX AJL 771.28
AIY ACP 283.56
AIZ ADW 236.15
AJA AGU 484.21
AJB BCT 195.29
AJC AOI 307.72
AJD BCB 363.80
AJE AUN 794.22
AJF AHL 140.11
AJG AGG 522.38
AJH AZO 674.77
AJI ABG 932.69
AJJ ATD 786.14
AJK ABB 224.97
AJL BGZ 113.05
AJM BEG 82.77
AJN BLX 971.03
AJO BBQ 278.53
AJP AKO 64.37
AJQ BLE 142.47
AJR AOH 543.73
AJS AEB 486.91
AJT AEJ 571.01
AJU AEI 509.90
AJV AIV 76.58
AJW AFG 606.27
AJX AJO 152.45
AJY AIE 825.20
AJZ AAR 250.97
AKA APN 692.39
AKB BHL 368.75
AKC AMS 411.89
AKD APE 468.54
AKE ALG 710.48
AKF AYX 780.20
AKG APE 956.10
AKH ALP 630.19
AKI ASE 394.99
AKJ ASW 887.66
AKK AQJ 75.84
AKL AVR 100.71
AKM AME 879.13
AKN AQR 548.12
AKO BIZ 518.80
AKP ASE 918.03
AKQ ABE 326.64
AKR BGV 313.41
AKS AHN 117.12
AKT BDG 592.47
AKU AKI 478.39
AKV ARI 7.60
AKW BDZ 860.14
AKX ATT 877.51
AKY BHM 2.51
AKZ AHF 323.55
ALA AQK 892.95
ALB AVO 251.03
ALC AKH 840.95
ALD BLN 803.45
ALE ATG 925.28
ALF AHL 897.99
ALG AFK 335.30
ALH AJI 990.46
ALI AYW 156.88
ALJ AUH 443.55
ALK AEL 119.14
ALL BJS 233.29
ALM AQR 252.46
ALN BGR 397.93
ALO ATH 203.03
ALP BKO 823.88
ALQ ASX 309.27
ALR AOK 195.10
ALS AHZ 37.58
ALT ALB 837.02
ALU ATH 47.08
ALV AJE 378.32
ALW BHU 109.94
ALX BAG 998.33
ALY AUU 278.76
ALZ BEK 65.61
AMA AJJ 220.07
AMB AJT 540.70
AMC AII 736.76
AMD AMT 54.54
AME BGK 987.17
AMF BMI 526.33
AMG ATB 116.86
AMH BEQ 937.23
AMI AQJ 47.02
AMJ BDI 444.35
AMK AKH 672.78
AML AKM 803.53
AMM AHE 191.46
AMN AOK 213.06
AMO BHK 570.78
AMP ADH 31.65
AMQ AWP 904.63
AMR ASX 426.90
AMS AFO 1.55
AMT AIQ 71.74
AMU BFB 523.38
AMV AAY 612.21
AMW BKI 646.54
AMX BBG 958.21
AMY AJW 487.21
AMZ BML 114.71
ANA BFS 225.24
ANB AAW 942.72
ANC BJU 720.10
AND AQY 213.96
ANE BJD 761.50
ANF AXP 245.25
ANG AVV 308.53
ANH AAI 471.04
ANI AKS 317.11
ANJ APL 462.33
ANK BFA 304.37
ANL ADN 644.26
ANM AXB 951.02
ANN BFR 971.52
ANO AXZ 168.55
ANP BCD 598.22
ANQ ARE 4.47
ANR BFD 137.53
ANS ATI 23.77
ANT AUH 342.49
ANU AEW 87.67
ANV AXW 451.41
ANW AWZ 586.93
ANX BDC 706.29
ANY AIG 792.28
ANZ AAR 71.57
AOA BJZ 733.72
AOB ASG 211.09
AOC AXP 645.34
AOD APA 122.97
AOE AEP 432.36
AOF BAH 371.21
AOG AIT 589.18
AOH AYX 488.44
AOI ADP 350.81
AOJ BGQ 561.74
AOK AZR 745.71
AOL AKE 834.69
AOM ARI 426.17
AON BGN 563.72
AOO AUJ 200.16
AOP AOY 478.62
AOQ AML 514.65
AOR BML 618.62
AOS AGD 199.36
AOT AUE 137.41
AOU AIH 626.30
AOV AVC 395.59
AOW APN 344.42
AOX AUD 155.47
AOY BBU 878.48
AOZ AQD 133.71
APA BGI 57.41
APB BBI 120.35
APC APR 836.42
APD AZI 865.55
APE BDQ 319.37
APF BDA 970.46
APG BIY 524.45
APH BCG 157.53
API BGP 330.67
APJ ABY 682.58
APK BFM 130.62
APL ATK 499.50
APM ATE 962.21
APN AQG 333.79
APO ADY 535.72
APP AMB 628.41
APQ AIV 599.43
APR BKB 403.76
APS BJV 596.36
APT BJP 635.96
APU AYS 940.53
APV BGT 76.79
APW BEF 195.51
APX BLI 515.85
APY BGL 856.32
APZ BAS 810.20
AQA AML 440.13
AQB AWP 625.50
AQC AKV 128.21
AQD APD 570.09
AQE AHU 753.83
AQF BAC 420.58
AQG AQS 274.31
AQH ACQ 116.16
AQI AIE 257.18
AQJ AET 113.45
AQK AAZ 522.06
AQL AEF 989.74
AQM AVN 588.10
AQN BEO 570.80
AQO ARK 867.55
AQP BDO 758.40
AQQ BCO 17.75
AQR BKM 37.07
AQS ACQ 670.23
AQT APQ 973.41
AQU BCY 132.71
AQV ACC 940.85
AQW ACB 381.86
AQX AJW 604.74
AQY BFO 972.65
AQZ ASD 163.80
ARA ANQ 71.97
ARB AAH 539.33
ARC AOB 659.14
ARD AAV 431.53
ARE ANH 981.69
ARF ALL 161.41
ARG BGR 900.87
ARH AEG 472.45
ARI BKD 969.17
ARJ AUU 158.68
ARK ALT 166.91
ARL AIV 999.47
ARM AQF 483.58
ARN AXZ 514.86
ARO AIK 485.93
ARP BEK 114.47
ARQ AOQ 995.72
ARR BGG 381.49
ARS ALQ 90.97
ART AKG 672.11
ARU ANP 166.47
ARV BCG 235.63
ARW BFD 195.54
ARX BFR 801.96
ARY AQB 317.48
ARZ BEL 593.64
ASA AZN 387.22
ASB ADD 523.72
ASC AIC 360.84
ASD BAC 490.56
ASE BGX 44.28
ASF ANP 404.68
ASG BLI 585.87
ASH BAI 21.91
ASI BDB 762.72
ASJ AKM 749.51
ASK ATU 691.08
ASL AZM 323.58
ASM BIX 856.75
ASN BDV 214.85
ASO AHT 413.24
ASP ABU 149.18
ASQ ALF 728.64
ASR ALP 834.79
ASS AUQ 875.01
AST AKW 263.31
ASU AFV 257.43
ASV AMT 286.35
ASW AGW 781.21
ASX APE 520.15
ASY AMG 329.33
ASZ ABP 800.18
ATA AOM 418.33
ATB BHC 70.55
ATC BIJ 412.83
ATD BKX 776.36
ATE AVI 584.46
ATF ALZ 790.06
ATG BGF 761.97
ATH ABZ 729.64
ATI ALJ 113.73
ATJ AEN 883.33
ATK BLG 824.46
ATL AVW 378.00
ATM BFJ 804.98
ATN AQQ 313.14
ATO BAI 331.34
ATP AMH 318.25
ATQ AIZ 400.60
ATR BAU 351.79
ATS AGL 1.26
ATT AWA 966.55
ATU AAN 380.74
ATV AKL 62.35
ATW AHR 708.51
ATX AWE 106.74
ATY AAH 948.46
ATZ ALH 520.45
AUA BGN 323.27
AUB BFU 542.13
AUC BHV 796.61
AUD AFR 426.10
AUE BEH 295.63
AUF BLN 368.18
AUG BMJ 460.20
AUH ATE 836.71
AUI BAD 175.17
AUJ BKH 374.23
AUK AZI 50.44
AUL BIL 25.66
AUM AJH 392.10
AUN ACE 908.24
AUO BHL 122.48
AUP AWE 277.01
AUQ BJE 327.15
AUR BCA 737.54
AUS AOA 837.93
AUT BBG 578.75
AUU BAR 235.03
AUV AUE 156.84
AUW BBF 830.42
AUX BJB 483.74
AUY BER 287.38
AUZ BED 888.54
AVA AQF 458.08
AVB AOG 260.30
AVC BGW 46.62
AVD AKC 354.26
AVE AEY 597.24
AVF BEL 778.38
AVG BKI 613.94
AVH AUU 375.19
AVI APE 843.08
AVJ BFG 912.48
AVK AKY 64.39
AVL BGB 936.88
AVM APY 553.44
AVN ADE 227.45
AVO AXB 442.12
AVP AOI 342.17
AVQ AJO 193.72
AVR ABI 77.42
AVS AGM 771.02
AVT AGW 572.97
AVU AST 226.48
AVV APF 619.69
AVW ASU 194.32
AVX ADO 619.35
AVY AUP 112.34
AVZ AAZ 442.56
AWA ALK 91.72
AWB ATW 398.59
AWC AXG 127.11
AWD AKP 485.98
AWE AGM 905.55
AWF BJS 796.47
AWG BCN 594.16
AWH BHM 503.14
AWI AXN 632.61
AWJ BJA 60.49
AWK AOG 754.51
AWL AJB 863.05
AWM AWU 2.11
AWN ARD 313.27
AWO BKA 341.27
AWP ALN 618.23
AWQ BAG 462.32
AWR BKH 241.67
AWS AEO 806.38
AWT AHL 322.18
AWU AIJ 882.86
AWV BBA 811.21
AWW AQU 319.58
AWX AIM 5.72
AWY BLL 553.99
AWZ BGS 974.82
AXA AFJ 73.44
AXB BIX 584.37
AXC BDL 647.31
AXD AIC 517.04
AXE AUH 817.01
AXF BJX 748.62
AXG ABD 152.09
AXH BGP 32.29
AXI BET 881.47
AXJ BEF 833.93
AXK ATU 800.17
AXL AMP 404.87
AXM APW 123.02
AXN BBA 398.99
AXO AOR 803.85
AXP ADD 149.04
AXQ ANE 538.72
AXR BKT 279.88
AXS BAR 631.07
AXT AGE 501.66
AXU AOQ 95.72
AXV BEC 54.45
AXW AZY 567.61
AXX AKB 369.81
AXY AOK 768.26
AXZ AHN 540.46
AYA AUO 12.41
AYB AUX 15.22
AYC AQG 682.98
AYD BAH 812.45
AYE ATI 951.55
AYF ABC 691.17
AYG ARP 858.44
AYH ALR 839.83
AYI ATH 95.02
AYJ ACX 264.63
AYK AKA 918.81
AYL BMH 602.09
AYM AUW 732.87
AYN AEJ 262.56
AYO ALQ 502.69
AYP ATQ 233.08
AYQ AHA 911.88
AYR ASS 814.05
AYS AAD 989.56
AYT AEI 245.22
AYU AYP 915.05
AYV BAZ 431.40
AYW ASH 234.48
AYX BKP 590.04
AYY BFN 939.77
AYZ AIC 683.78
AZA BKD 500.79
AZB BBQ 672.05
AZC ART 748.33
AZD ADY 61.83
AZE ASX 901.16
AZF ALS 929.64
AZG AOG 870.26
AZH BLU 407.91
AZI AMB 697.25
AZJ AIW 800.94
AZK AWO 753.04
AZL AEA 549.31
AZM ALB 994.14
AZN BCP 480.55
AZO BEF 321.06
AZP AUR 119.53
AZQ ATR 940.76
AZR BJA 382.56
AZS AQX 889.72
AZT AQY 940.12
AZU AMR 902.83
AZV ALX 767.45
AZW BIE 940.51
AZX BDW 796.43
AZY ADM 155.53
AZZ BGZ 413.58
BAA AYR 320.28
BAB ARA 59.61
BAC AOF 429.28
BAD AOW 411.85
BAE ASX 195.06
BAF AWL 899.23
BAG AUL 650.02
BAH AMO 824.93
BAI BGZ 53.23
BAJ AXI 657.67
BAK BHG 125.38
BAL AWR 892.67
BAM AKC 927.52
BAN ALT 703.65
BAO ACX 613.52
BAP AOR 155.14
BAQ BFV 407.16
BAR AYU 248.23
BAS ANX 245.48
BAT ACD 750.30
BAU ALU 518.52
BAV BGW 739.90
BAW BGD 258.37
BAX AGE 35.32
BAY ALN 656.92
BAZ AIX 431.18
BBA AOV 445.15
BBB AKH 11.72
BBC AUS 340.00
BBD ANO 619.24
BBE BEK 159.65
BBF BAG 887.33
BBG BIZ 316.18
BBH AGK 566.78
BBI ACJ 122.70
BBJ ASG 165.73
BBK AVR 293.67
BBL AHW 136.80
BBM AIE 633.98
BBN ARB 27.17
BBO BGD 28.64
BBP AOP 400.26
BBQ AHQ 945.73
BBR AWB 9.99
BBS AKP 127.36
BBT BBA 239.25
BBU AAL 730.66
BBV ABK 17.36
BBW APY 752.72
BBX BIK 772.02
BBY AEY 64.75
BBZ AHM 843.68
BCA ABW 6.91
BCB ARA 237.51
BCC ASA 316.12
BCD BFW 258.85
BCE BJB 886.55
BCF AIU 982.08
BCG AVN 71.09
BCH AHQ 281.53
BCI AQP 948.34
BCJ AJS 812.52
BCK BMA 974.42
BCL ACO 52.88
BCM BGL 577.54
BCN AWK 929.60
BCO AMQ 89.71
BCP AAO 327.76
BCQ AUH 917.28
BCR BAQ 64.56
BCS BAR 993.47
BCT AAD 905.21
BCU ADD 146.04
BCV ACO 712.31
BCW AOV 206.40
BCX BFU 906.16
BCY BHK 841.68
BCZ AXM 160.79
BDA BBR 712.08
BDB BLA 706.76
BDC BMA 365.62
BDD AUN 258.96
BDE AZX 573.16
BDF APG 715.48
BDG ANS 315.52
BDH BIQ 50.88
BDI BKZ 430.50
BDJ AAG 189.03
BDK ASS 170.42
BDL ABI 284.24
BDM ABO 222.23
BDN APB 22.13
BDO ALG 72.60
BDP ASA 43.53
BDQ AOR 723.63
BDR BJQ 237.83
BDS BAD 713.69
BDT ABL 708.11
BDU BBJ 247.04
BDV AXL 104.33
BDW BHQ 530.68
BDX ASC 35.09
BDY BDK 438.35
BDZ AIW 28.28
BEA AJT 616.02
BEB BFU 312.64
BEC ASJ 666.45
BED BIW 65.69
BEE BJN 681.21
BEF ASR 687.26
BEG ATP 23.04
BEH ABA 657.63
BEI AWC 585.41
BEJ AWZ 350.63
BEK ATD 952.86
BEL ANQ 722.06
BEM ACP 937.23
BEN AVM 771.76
BEO AAE 471.83
BEP BEG 311.40
BEQ APP 276.09
BER AJV 89.64
BES AUN 122.34
BET BBG 681.61
BEU BID 264.56
BEV AEJ 535.45
BEW ALW 457.49
BEX AYS 351.39
BEY AVI 558.82
BEZ AGM 365.91
BFA BES 320.51
BFB AEW 158.74
BFC ABY 172.17
BFD BCZ 960.37
BFE AGV 730.55
BFF AZO 895.39
BFG BGX 59.34
BFH AGN 112.71
BFI AQQ 303.88
BFJ AHP 312.29
BFK BDU 326.72
BFL BDT 346.62
BFM AFX 40.82
BFN BLC 154.15
BFO ANU 727.07
BFP BDF 274.85
BFQ ANV 935.08
BFR BBY 632.37
BFS AKO 364.10
BFT BFL 914.79
BFU AOG 864.52
BFV BCK 264.81
BFW AEB 122.25
BFX BLD 432.59
BFY ASU 335.37
BFZ AVP 485.14
BGA AGU 592.62
BGB BAU 936.86
BGC ARL 693.29
BGD ABL 560.13
BGE ATE 938.12
BGF AMI 631.48
BGG AOV 432.09
BGH AXV 980.46
BGI BHT 20.12
BGJ ARW 54.36
BGK AKK 195.99
BGL AGU 135.54
BGM BFI 23.75
BGN AKE 234.94
BGO AAI 313.02
BGP BJH 511.78
BGQ BHG 551.85
BGR ATU 29.65
BGS BLQ 703.18
BGT AFA 829.03
BGU ABZ 588.28
BGV ABM 514.50
BGW BGR 724.37
BGX ARH 980.09
BGY ARE 880.78
BGZ BAC 792.65
BHA AGP 680.68
BHB BEP 722.06
BHC BAY 659.85
BHD AYQ 554.11
BHE AWR 677.09
BHF BIK 205.57
BHG BHQ 514.54
BHH BDS 637.60
BHI AZO 988.53
BHJ ABH 22.54
BHK BBC 927.15
BHL ATK 924.23
BHM AQR 195.53
BHN AYI 723.05
BHO BJM 102.31
BHP ALN 316.62
BHQ AIM 770.94
BHR AQP 814.46
BHS BGZ 159.21
BHT AYG 730.71
BHU BLS 434.47
BHV AJT 228.76
BHW BMA 498.55
BHX ACI 330.25
BHY AKT 496.52
BHZ BBS 390.93
BIA ATX 53.35
BIB BIF 565.76
BIC AJA 383.02
BID AUN 488.73
BIE BID 131.56
BIF AXE 431.84
BIG AYG 171.07
BIH ABC 660.34
BII AEB 778.39
BIJ ALA 330.10
BIK AJE 490.86
BIL ALH 325.39
BIM BJG 752.27
BIN AIX 803.53
BIO ARE 335.47
BIP BHZ 163.03
BIQ BHW 673.15
BIR AXT 801.24
BIS ANL 181.14
BIT AXY 705.02
BIU BAK 422.36
BIV BAT 542.25
BIW AXN 383.16
BIX AGA 250.76
BIY AQW 757.16
BIZ AFY 537.94
BJA BAK 466.77
BJB AJW 564.47
BJC AFW 846.02
BJD AFU 794.87
BJE BEL 889.51
BJF AKG 733.85
BJG ATP 850.23
BJH AFH 782.36
BJI BCK 988.58
BJJ ARE 671.11
BJK AMY 624.25
BJL ADP 331.41
BJM AIJ 742.99
BJN AOE 496.01
BJO BCU 490.08
BJP BAJ 75.22
BJQ AMK 224.34
BJR AOY 502.93
BJS BEA 334.74
BJT AQJ 578.90
BJU AKP 419.23
BJV BKK 950.44
BJW AYI 847.84
BJX AYS 464.35
BJY AVB 547.22
BJZ ATF 574.40
BKA AWK 512.35
BKB BID 669.45
BKC AVA 651.51
BKD AGD 82.55
BKE BDX 526.46
BKF AQQ 261.96
BKG ASV 124.51
BKH AKS 148.21
BKI ACL 226.22
BKJ BIN 10.55
BKK ARJ 203.39
BKL AET 78.44
BKM AYH 20.83
BKN AGC 51.18
BKO BJA 5.30
BKP AEO 66.57
BKQ AXE 694.92
BKR BMI 100.05
BKS AKA 65.01
BKT AFR 815.07
BKU ACE 503.89
BKV AHL 505.80
BKW BCZ 5.45
BKX ATZ 414.71
BKY BHU 708.16
BKZ ATN 204.17
BLA AXP 713.30
BLB BDL 126.31
BLC ADX 315.96
BLD AEX 629.23
BLE AWJ 130.11
BLF BGY 165.97
BLG AXE 595.35
BLH ABK 662.04
BLI BBJ 612.14
BLJ AXF 415.36
BLK AEM 717.67
BLL AZP 71.48
BLM AXV 902.21
BLN AOZ 445.36
BLO BKR 74.98
BLP AGY 848.97
BLQ BHW 259.18
BLR ATV 12.97
BLS AIN 643.33
BLT ANG 59.94
BLU AWT 501.54
BLV BAN 925.52
BLW BDC 655.45
BLX BDF 920.78
BLY AXQ 228.20
BLZ BKD 547.14
BMA BHF 420.82
BMB AZF 996.04
BMC AFL 268.34
BMD BAI 260.44
BME BKF 254.46
BMF BBP 622.16
BMG ATU 248.21
BMH AFY 415.84
BMI AWG 277.35
BMJ AJH 828.51
BMK BDB 865.21
BML AQC 202.82
AUJ BBK 668.64
AWX AMO 896.84
ARQ BDG 6.23
AYV APZ 165.80
AMR ARS 770.73
AVA BCZ 188.71
APW BJR 865.88
ATF ADD 281.72
BCM AKY 921.02
AOK APC 949.75
ADJ AJW 797.45
BDL ALG 912.74
AUG AKH 738.70
ALH BGP 346.80
BCZ AKM 223.25
BHB AFO 770.07
BEG ADG 939.05
AIL AXL 743.17
BGY BBJ 988.16
AJO ABN 339.08
ATK BEE 56.34
BEQ APV 897.21
ACL AYJ 524.87
AKD AMB 523.65
AUP BMD 216.58
ABF ANM 27.64
AEM AXJ 66.23
ACZ AKQ 907.61
AFK ARC 443.32
AGX ANO 501.88
AME BLY 164.36
BBZ ACI 262.92
ANW BIP 530.88
AAZ AKE 465.04
AOE AKO 67.67
BBQ ABM 436.54
BAB AAN 596.86
BKR AEW 741.54
APH ARR 152.31
ADX AYX 913.71
ADK AQU 139.03
ATG BCA 462.19
APJ AGN 122.98
AAP AZX 860.10
ALD BEM 20.35
BAE ARE 154.04
ABT ASQ 194.74
AGQ BMC 81.52
BLV AIN 721.05
BLU BKJ 428.55
AQC BGQ 379.56
ATF AQD 793.96
AZS BBP 568.96
AND ADB 392.95
AFD AEK 116.62
BJV BHM 629.52
AQA BAV 449.84
APQ AHT 480.29
BLS AZI 955.53
BJP ATT 155.36
AEV ASC 908.71
BIM AIK 52.89
AXP AEL 177.88
ABS BDI 978.08
AGC BDX 591.49
AOR BCB 576.34
AQO BBL 205.66
AYH BCO 403.34
ALD AYY 910.92
BEX AUQ 880.72
AYB APR 553.49
BGL ABX 68.26
ALY AHH 887.22
AQJ BMK 296.87
AHU AFR 157.31
AKX AFE 652.42
BMI BAY 99.75
ADM AOW 694.05
ADM ASK 680.36
AYD BIT 943.25
ABI AXG 74.80
AQT AQP 291.05
AYB ATL 713.01
AXZ AHL 909.63
AES AKQ 437.40
AJW ATY 412.94
ALW BGN 465.77
BAS AJQ 209.25
AUF ALA 123.68
AQM BLC 164.58
AOU ARC 814.37
BFJ BIS 654.72
AZX AVJ 229.07
AIK ATY 878.84
ATA AXN 255.07
AOB BIV 276.30
AIC BGD 682.38
BFH BDG 515.47
ADV ASM 505.93
ACL ALF 401.18
BHC BCA 408.98
BDI AVG 82.83
AMF BFG 654.50
AHF BAU 11.23
BES AVK 613.41
ACE AHE 781.88
BIH BDW 169.05
AAD AML 874.67
BGE BJH 592.80
AEX ABJ 3.80
BGX BJY 377.95
BDG AVX 626.55
AWA AAT 204.17
AKI ATB 150.86
BFS AHG 212.74
ANY BCA 990.72
AFJ AYJ 224.80
BFI ADX 53.71
BCD AOR 177.27
AEP AEJ 555.63
APP BIZ 680.42
BLM BJG 38.97
ANH BAK 776.57
AHK BDS 285.81
AOR ABU 282.02
AEF ASD 183.78
ADR BKP 430.93
AHO AZZ 542.32
BJT APM 523.98
ABR AMF 391.30
ALS ANV 36.01
AWA AXK 540.06
AJY AXU 313.32
ABF AHR 10.29
ACZ APL 642.22
BIQ BEA 149.55
BGU BHP 314.16
AUH ARP 305.11
AKV AHZ 160.59
BKO BAN 309.89
ALX ALE 83.84
AKJ AYY 860.40
BID AMU 266.12
ADJ ANY 668.71
BGI BKA 219.02
BLK AJJ 293.31
AHP AZJ 45.84
AAG AUD 374.36
AIG AWK 823.15
BIT BJN 569.48
AVA ALV 168.98
AHM BAX 465.59
AUH AMA 498.28
AJH AUP 370.68
AUJ BEJ 205.07
BDS AEQ 283.47
BED BBC 116.72
ALU ASY 808.69
BIF AGD 228.76
AGI AED 64.42
ASE ANT 543.45
AUD BJG 28.91
BGD ADT 224.38
AOG AGJ 443.17
AGD AZW 859.10
AYI AOH 114.39
BAM ABR 522.11
AGZ AKF 723.46
BAQ AFL 696.53
BEU BJZ 928.94
ATP AKU 730.58
BDY AUE 348.82
BHR AMC 644.06
APC AYH 882.41
AQA AUV 59.64
BEH BLS 394.75
AHB AUX 181.07
ARG BIF 791.48
AWR BIK 273.29
BHS BEI 940.21
AGA BGP 361.73
ABG BCB 706.83
ANI AFF 604.61
AMR BCB 716.88
BHM BAR 414.32
AHU AGM 738.48
ADT AYE 299.87
ANB BDW 51.70
AIZ ARP 966.18
AAW BFY 435.59
BHL AAE 524.35
AXA ABN 939.44
BCG BGU 709.76
ARV BII 386.75
ATO AMM 250.04
ABC AGQ 322.27
AZG AGD 717.81
AQQ AMS 958.79
AJH ALO 932.18
ACU BHC 334.51
AQM ALJ 94.73
ARZ AJF 943.42
AZV AVW 392.93
AVR AJJ 760.27
BID AXB 418.42
APV AGW 427.02
BJM BKY 17.30
AXG BGH 533.87
BIV ACF 931.71
BDL BHC 484.13
APW AMW 458.37
AZC ABC 52.65
AWA AMJ 300.84
AGL BAY 807.55
BDM AUW 453.18
ALL AJK 815.57
AJX BLN 633.20
ARG BBM 205.94
ATL AJD 585.51
BBP AZA 574.56
ABZ AST 935.73
ADC AEA 193.37
APL AHG 123.41
ADY BKH 599.13
BMI AXP 170.80
AWV AUC 251.99
BJK BGK 164.96
AYK BEJ 791.05
BHN ANC 925.53
BHQ AFS 664.10
BBL BBT 341.27
BFM APU 51.79
AAG BCY 66.11
BKO AZP 613.64
BJF ADU 618.18
AQW AYZ 661.67
AYI ATD 7.60
AQF AXE 0.32
BDH ATN 846.66
AKB BJH 968.89
BLU ABS 851.15
BCR AWD 788.29
ATD AUS 996.47
ATU AJV 940.05
BLC AQJ 99.55
AXP AWU 418.71
ARU BBC 876.61
ACM BCI 942.93
AVZ BDA 987.15
BGI AYU 758.28
AJD BDF 830.90
AGI BKE 304.24
BBB AWP 371.69
ALY AWV 320.18
BCH BIQ 748.85
AMQ AET 828.49
ABG AFG 974.63
