1
100 400
ABJ ACO 452.12
AAW ACH 255.52
ABU ADD 730.73
ABK ADA 478.98
ADH ACD 314.69
ADD ACZ 312.00
ACX ABW 198.78
ACC ABH 535.68
ACY ABN 498.35
AAD ABZ 667.22
AAW AAP 291.82
ADD ACP 552.17
ACL ADO 466.92
ABP ADM 968.38
ABW AAM 485.26
ACZ AAM 609.11
ABA ABR 680.44
ACH AAL 479.71
ABY ABU 244.26
AAB AAU 75.54
ACQ AAC 110.58
ADJ AAU 214.80
ADC ACM 274.61
AAW AAC 505.76
ABI ADC 482.69
ADV ABR 169.70
ABQ ADK 234.47
AAF ACH 860.73
AAD ABL 826.85
AAX ADO 96.87
ABA ABY 349.89
ABU ADE 692.09
AAK ADR 51.97
ACM AAY 487.29
ADS ADP 477.03
ABN AAP 172.38
ADB ACL 212.37
ADN ADK 959.31
ABC AAZ 785.36
ACU AAN 352.39
AAW ACC 327.62
ACE ACL 166.40
ACA AAM 93.86
ADP ABW
ACM ACY
AAV ADT
ADJ AAM
ACA ABL
ACA ACY
AAH ABF
ACW ADO
AAS ADR
ABI AAD
END
