1
2000 4000
AKC ADK 601.44
AKD AFN 274.07
AKE BDU 635.75
AKF CKR 933.53
AKG AZM 459.00
AKH ADA 674.43
AKI BUE 646.44
AKJ AQJ 22.28
AKK ALC 200.73
AKL AGW 835.99
AKM AYN 61.14
AKN BGH 788.56
AKO CPN 844.91
AKP BYW 160.28
AKQ AAA 90.04
AKR BSF 946.12
AKS AAT 460.88
AKT CMA 796.44
AKU BMJ 951.46
AKV BOG 472.93
AKW BPX 956.59
AKX AZF 214.76
AKY CNO 42.89
AKZ BBN 390.80
ALA BNR 43.44
ALB ARQ 168.93
ALC ADX 240.21
ALD ATS 596.50
ALE CMO 402.08
ALF BUR 338.34
ALG BES 880.30
ALH AEP 347.14
ALI ANU 831.69
ALJ AMD 601.35
ALK CQM 37.07
ALL COC 357.13
ALM CHI 548.69
ALN CGD 923.73
ALO CRL 135.98
ALP CWT 162.26
ALQ CEP 868.36
ALR BGZ 447.53
ALS APN 615.73
ALT CQN 193.69
ALU CHV 964.33
ALV ARW 673.46
ALW ACI 143.53
ALX CUD 349.35
ALY BPE 164.18
ALZ ASJ 85.42
AMA AJW 352.02
AMB ACU 521.95
AMC BJK 341.50
AMD CPG 819.35
AME AGF 87.25
AMF CVQ 820.43
AMG BER 639.84
AMH CHX 227.71
AMI ASZ 312.00
AMJ CKW 436.91
AMK BNX 280.48
AML BDA 284.50
AMM CBH 294.50
AMN AIM 889.81
AMO CGP 748.07
AMP AAJ 986.98
AMQ BVX 417.79
AMR CWF 164.33
AMS AOE 281.66
AMT BVV 400.30
AMU ACV 128.81
AMV BHI 651.57
AMW CWF 488.70
AMX AQH 187.75
AMY BFM 627.74
AMZ BTE 240.57
ANA ATN 62.08
ANB CLU 659.28
ANC BIZ 322.44
AND BOL 978.78
ANE AWE 687.85
ANF AVS 170.60
ANG CTA 638.22
ANH ANC 28.46
ANI BVG 645.66
ANJ CDS 615.83
ANK BCN 813.01
ANL AUE 706.66
ANM CQZ 310.22
ANN CRC 429.47
ANO CAE 846.12
ANP BFO 9.70
ANQ BWD 522.15
ANR ARR 264.78
ANS BBG 545.12
ANT BXX 78.62
ANU BXA 536.37
ANV CED 502.14
ANW CCI 911.20
ANX CMX 421.51
ANY COS 449.92
ANZ ALH 494.87
AOA AFX 468.27
AOB CTD 891.69
AOC AEM 259.46
AOD BJA 879.97
AOE BYU 318.24
AOF ABN 340.82
AOG AVO 49.23
AOH CQT 848.50
AOI BBK 176.21
AOJ BWK 990.85
AOK CLN 339.87
AOL CED 50.69
AOM BUY 514.15
AON APR 134.98
AOO BLX 673.06
AOP AFE 390.52
AOQ AIO 994.90
AOR CQV 919.83
AOS AMV 766.90
AOT ATV 686.99
AOU BEC 16.53
AOV AWE 89.06
AOW CPP 796.94
AOX BYP 823.63
AOY CRG 28.21
AOZ BSQ 849.25
APA CYS 798.03
APB BUW 946.20
APC ASC 535.66
APD BHP 439.77
APE BNQ 874.56
APF BKK 350.07
APG BZQ 276.04
APH ALI 450.87
API CQT 396.75
APJ CMQ 291.61
APK AQE 329.21
APL AXR 642.56
APM BLK 645.29
APN BZY 262.83
APO CIA 771.24
APP BJS 368.63
APQ CSP 175.55
APR BRD 44.98
APS ASI 723.05
APT CPT 83.46
APU CAB 478.58
APV CEG 630.60
APW AFR 30.48
APX BBV 961.08
APY BWW 382.86
APZ BUL 167.56
AQA BMY 796.90
AQB AIL 1.75
AQC BFE 603.36
AQD CEF 279.21
AQE BEE 703.70
AQF AKR 107.41
AQG BVR 126.19
AQH BXD 917.51
AQI ADT 637.15
AQJ CIN 610.38
AQK ARI 598.03
AQL BGT 33.87
AQM CFO 649.50
AQN CJC 219.26
AQO BAG 411.18
AQP BFC 71.48
AQQ CML 360.47
AQR BCH 813.79
AQS CLO 664.85
AQT BUL 501.96
AQU BKB 904.37
AQV CCE 738.37
AQW CJC 925.29
AQX AWY 206.85
AQY ACY 820.37
AQZ CSU 5.22
ARA CVL 385.26
ARB CSI 210.43
ARC BYW 34.05
ARD AUD 394.17
ARE AVT 143.56
ARF APN 816.83
ARG CCK 702.40
ARH BPL 631.39
ARI CMX 50.67
ARJ CFW 226.36
ARK ASF 69.77
ARL CFY 312.64
ARM CXA 784.13
ARN ARJ 721.02
ARO AYA 500.26
ARP BIU 186.43
ARQ ABN 928.86
ARR ALF 410.85
ARS BGW 153.61
ART COB 571.67
ARU BUG 434.19
ARV AAL 964.73
ARW CXO 346.17
ARX CMU 994.40
ARY AQM 56.51
ARZ AYE 515.40
ASA BEY 512.54
ASB CMD 284.86
ASC AWR 511.06
ASD BRO 64.70
ASE CEK 895.65
ASF ARJ 223.89
ASG CES 975.05
ASH BUW 950.95
ASI AXQ 603.28
ASJ ADV 589.35
ASK CPS 238.16
ASL BEF 664.62
ASM AJU 477.24
ASN CAY 308.21
ASO ANX 206.82
ASP CWM 823.56
ASQ BGL 815.18
ASR AYA 179.56
ASS AQK 277.84
AST CNL 501.09
ASU ATE 658.92
ASV CPH 325.05
ASW CJO 523.24
ASX BMQ 89.67
ASY AJV 125.66
ASZ BCG 654.55
ATA CVT 560.15
ATB COY 438.72
ATC BAR 305.23
ATD CHX 734.68
ATE AGU 734.07
ATF BJP 394.94
ATG CRI 993.71
ATH CFZ 39.01
ATI ANY 982.28
ATJ ASF 772.09
ATK CNY 428.60
ATL CHC 602.22
ATM CHI 536.66
ATN AWM 405.40
ATO CYT 697.97
ATP AGI 353.18
ATQ BTU 542.64
ATR BRV 622.56
ATS COI 702.36
ATT CLF 686.97
ATU AUX 242.53
ATV CKM 149.20
ATW BTD 983.45
ATX BJP 834.84
ATY BAR 55.36
ATZ BCU 97.50
AUA CXX 867.59
AUB BDX 762.85
AUC BTH 718.67
AUD CMA 393.61
AUE BNR 555.25
AUF AFL 838.28
AUG ADH 865.74
AUH BSS 272.81
AUI CYC 981.61
AUJ BDM 168.05
AUK ACZ 205.21
AUL BUW 623.91
AUM AIT 996.02
AUN BRU 481.43
AUO CUW 229.20
AUP ABF 698.87
AUQ AUE 442.19
AUR ADI 828.08
AUS AUB 957.01
AUT CIS 741.02
AUU CWG 459.04
AUV ASK 937.20
AUW CAB 203.67
AUX BHX 219.92
AUY BER 333.31
AUZ AHW 736.47
AVA APA 32.26
AVB BFX 54.22
AVC CVT 146.17
AVD CUR 243.19
AVE AHY 441.63
AVF AOS 799.20
AVG BPO 730.82
AVH BRS 208.20
AVI BJM 339.53
AVJ CTM 527.14
AVK BEG 692.05
AVL CWA 286.88
AVM BAF 1.39
AVN CEO 408.05
AVO ARL 58.30
AVP CCF 200.26
AVQ CRG 668.43
AVR CEF 282.38
AVS AVL 117.18
AVT AIZ 517.02
AVU CKL 631.16
AVV AHQ 606.16
AVW CDG 270.55
AVX BMV 213.34
AVY APL 927.11
AVZ AKI 572.19
AWA CVJ 531.87
AWB BZB 841.92
AWC BMK 529.40
AWD BRF 31.49
AWE CGU 558.03
AWF AYW 5.32
AWG BRE 813.28
AWH CBU 204.59
AWI ATU 140.31
AWJ BSD 816.32
AWK AXC 201.37
AWL CHK 296.98
AWM CBG 563.88
AWN BQH 409.05
AWO AEU 577.85
AWP BYZ 273.67
AWQ CVO 3.84
AWR BYY 806.52
AWS AFX 529.10
AWT BBL 447.99
AWU BZF 396.81
AWV CAK 477.11
AWW AUD 904.53
AWX ASR 467.60
AWY BCQ 730.37
AWZ CGS 979.84
AXA ABI 33.44
AXB COR 894.22
AXC AMQ 114.19
AXD CHW 251.84
AXE BIU 284.52
AXF BTS 128.81
AXG CUN 968.16
AXH ADA 148.65
AXI CMA 100.39
AXJ COE 911.43
AXK BGW 49.96
AXL CRH 34.34
AXM AHN 397.29
AXN BRA 162.86
AXO AXZ 112.91
AXP AYM 549.96
AXQ AQD 746.57
AXR ACY 907.21
AXS AJX 747.47
AXT CHR 879.85
AXU BHI 11.61
AXV AMR 647.40
AXW CJT 107.52
AXX BRZ 804.07
AXY CHQ 556.21
AXZ AXT 32.15
AYA AZA 267.57
AYB ASS 724.19
AYC BOR 568.45
AYD ASU 119.57
AYE BKR 356.80
AYF ANA 991.24
AYG AHP 277.24
AYH BFR 127.66
AYI BCX 384.55
AYJ CKE 383.75
AYK CEL 16.18
AYL BBU 539.46
AYM BBD 154.24
AYN BOF 658.65
AYO BPO 222.56
AYP BMZ 316.63
AYQ AQS 757.30
AYR BJR 318.51
AYS AGE 254.91
AYT BTC 334.16
AYU BII 434.66
AYV BTU 878.62
AYW AYE 550.90
AYX CUZ 900.14
AYY BCN 13.80
AYZ BZY 658.65
AZA AGH 642.08
AZB CKU 480.72
AZC CWN 868.69
AZD CEV 506.77
AZE BAQ 993.69
AZF CDW 744.90
AZG BAR 191.26
AZH BLI 403.79
AZI AFR 828.54
AZJ AMI 221.42
AZK AAE 553.92
AZL BGC 138.62
AZM CUE 269.84
AZN AOA 367.31
AZO BKM 649.69
AZP BTH 477.14
AZQ CQS 551.12
AZR AMV 251.61
AZS CST 260.75
AZT CRD 838.10
AZU AZC 908.83
AZV AAK 332.49
AZW CYE 973.45
AZX AVF 873.32
AZY CES 801.28
AZZ CUA 392.23
BAA BPU 358.30
BAB BSW 787.06
BAC CQV 733.14
BAD AKY 75.31
BAE CJL 507.37
BAF AHT 674.61
BAG BLN 837.36
BAH AGH 805.34
BAI ANG 848.14
BAJ ABX 679.60
BAK BUN 389.96
BAL BAS 184.11
BAM CPB 911.90
BAN CMG 492.45
BAO BFP 315.69
BAP CPJ 395.42
BAQ AJO 579.07
BAR CIN 629.18
BAS ARH 500.37
BAT BDU 858.57
BAU CMH 583.98
BAV AFE 229.76
BAW CTQ 786.46
BAX CRS 682.98
BAY AJY 842.07
BAZ CHV 718.61
BBA AKN 538.20
BBB BMW 86.01
BBC AHR 960.16
BBD CJA 326.80
BBE AIO 790.20
BBF BXF 113.37
BBG AJV 68.22
BBH BHB 8.52
BBI BBI 610.56
BBJ CRN 739.85
BBK BYN 727.33
BBL CBB 779.41
BBM AWT 331.76
BBN COT 311.91
BBO CCA 152.02
BBP BNI 896.42
BBQ AJK 96.77
BBR ABU 303.84
BBS CCM 724.43
BBT CRV 659.84
BBU BYV 516.38
BBV ARS 210.94
BBW CWW 679.29
BBX BZL 316.71
BBY CLS 86.56
BBZ CBL 811.44
BCA CDI 353.22
BCB BGS 491.20
BCC AZN 543.81
BCD CWL 185.85
BCE AWH 160.68
BCF ADT 713.09
BCG CND 391.75
BCH CKG 641.43
BCI AEX 811.09
BCJ BQH 794.33
BCK BHV 238.01
BCL ADE 239.11
BCM CIW 388.26
BCN CSO 697.71
BCO BWU 775.91
BCP BWR 615.76
BCQ BAU 590.58
BCR CQX 141.15
BCS BOM 237.12
BCT CQM 157.27
BCU BNW 736.31
BCV BSP 982.29
BCW BBX 50.82
BCX AUX 407.77
BCY AVR 252.04
BCZ BMR 679.95
BDA CVI 534.42
BDB AXW 734.39
BDC CID 638.41
BDD CQQ 724.55
BDE ABF 268.31
BDF CUR 34.01
BDG CGI 447.27
BDH AQX 156.80
BDI CPR 829.20
BDJ BIT 245.71
BDK BEV 347.96
BDL AIW 20.62
BDM BTW 178.78
BDN BPQ 751.25
BDO BRC 957.55
BDP CHP 84.40
BDQ CUH 513.79
BDR CIM 741.70
BDS BLP 414.42
BDT AYB 57.08
BDU BQR 970.08
BDV ADJ 705.14
BDW AVB 266.25
BDX CHL 428.79
BDY CDU 503.06
BDZ CDY 824.48
BEA BHF 66.03
BEB ASN 740.36
BEC BSS 600.55
BED AGG 839.16
BEE ANS 86.34
BEF AAN 377.11
BEG AIZ 905.87
BEH ABE 79.37
BEI CLH 912.10
BEJ AVY 166.55
BEK CGO 227.54
BEL CBB 626.58
BEM CHD 224.21
BEN BPN 752.76
BEO ACZ 893.39
BEP ALJ 68.86
BEQ BXA 749.40
BER BMH 531.28
BES BOE 464.36
BET CCT 71.57
BEU BUY 294.00
BEV CYM 477.88
BEW COK 58.06
BEX CAQ 683.70
BEY CAZ 693.71
BEZ ASK 179.39
BFA AWZ 48.99
BFB CMI 742.09
BFC CFE 24.86
BFD CSF 491.04
BFE CYO 399.15
BFF BUL 41.20
BFG BWB 532.64
BFH ACB 662.02
BFI CNV 942.93
BFJ ABU 38.28
BFK CKE 672.83
BFL CDL 600.34
BFM APO 236.94
BFN CCO 28.10
BFO BQJ 461.33
BFP CBH 178.96
BFQ AEB 340.50
BFR AUQ 110.57
BFS AGF 579.43
BFT AIC 447.13
BFU BGC 325.03
BFV AEQ 454.17
BFW CKH 224.35
BFX BPO 345.25
BFY ANP 176.82
BFZ BYS 731.26
BGA CGE 899.69
BGB AAQ 907.59
BGC CVX 942.68
BGD APM 394.34
BGE CMS 470.22
BGF BPG 77.87
BGG BUA 657.87
BGH ADF 339.60
BGI AZY 953.58
BGJ AIF 542.93
BGK CNV 438.60
BGL AYX 463.33
BGM BHA 276.82
BGN COB 157.27
BGO BUK 192.11
BGP CGZ 630.35
BGQ CRA 547.18
BGR BZN 719.01
BGS BZJ 637.16
BGT BPY 57.41
BGU CUI 850.17
BGV BSM 81.63
BGW AET 650.76
BGX BEG 72.39
BGY CUN 371.49
BGZ BMV 210.00
BHA BZH 939.48
BHB CKS 800.08
BHC COU 645.44
BHD AED 996.99
BHE BCG 9.42
BHF AAM 419.92
BHG CUV 328.81
BHH AWZ 373.51
BHI CDO 415.80
BHJ AWZ 236.87
BHK AHU 893.24
BHL APL 101.06
BHM CNH 66.78
BHN AGX 311.87
BHO AUT 115.82
BHP CGW 575.41
BHQ CHP 358.73
BHR BDP 435.13
BHS BUQ 332.85
BHT AWH 168.76
BHU BHL 59.47
BHV BTK 389.44
BHW AYX 891.14
BHX BAT 517.77
BHY CRW 520.92
BHZ CQA 572.92
BIA CBU 563.71
BIB CBX 285.21
BIC ACJ 174.48
BID BNQ 395.80
BIE BRD 446.00
BIF BFT 509.13
BIG AQK 346.71
BIH ALW 135.94
BII BFR 539.90
BIJ ALD 348.88
BIK AHC 220.44
BIL BSO 314.69
BIM CJM 828.31
BIN BXB 418.53
BIO CFQ 914.15
BIP AFI 253.96
BIQ CVT 992.48
BIR BAU 435.39
BIS BRB 463.30
BIT BJV 457.27
BIU BME 802.41
BIV BJC 41.08
BIW ACD 74.18
BIX CPS 992.20
BIY ARS 972.30
BIZ BXA 540.50
BJA CGL 406.44
BJB CSI 304.32
BJC AYO 851.18
BJD BIB 911.03
BJE BGT 41.36
BJF COU 570.23
BJG AVQ 867.69
BJH CDV 364.33
BJI ATS 0.33
BJJ AKO 567.34
BJK BGL 115.04
BJL BXA 115.38
BJM BQT 112.50
BJN ASM 130.34
BJO BPS 939.23
BJP AVW 277.54
BJQ AUS 689.56
BJR ACW 907.48
BJS AHV 631.76
BJT CMA 469.59
BJU AMW 310.55
BJV AGU 34.01
BJW CSO 372.48
BJX BXH 836.27
BJY ANY 546.98
BJZ AVI 339.08
BKA CRE 12.05
BKB BFB 178.28
BKC BUS 889.09
BKD BGB 372.87
BKE BOB 306.51
BKF CJV 337.53
BKG ATH 395.79
BKH BQQ 700.33
BKI BZS 390.56
BKJ AEH 27.72
BKK AGR 536.78
BKL BJQ 42.87
BKM CVR 623.59
BKN CCF 282.07
BKO AEL 446.29
BKP AHE 159.63
BKQ CQX 402.66
BKR BTF 909.93
BKS AKU 973.58
BKT AAJ 283.60
BKU ARX 933.21
BKV BWE 439.68
BKW AAB 193.18
BKX AOL 683.60
BKY CFD 473.45
BKZ CAX 284.86
BLA BRI 100.10
BLB AOG 83.01
BLC BHC 533.93
BLD AAW 57.79
BLE CPB 313.28
BLF CJI 602.08
BLG BUF 718.86
BLH CJK 171.21
BLI CFA 958.33
BLJ CFY 136.05
BLK CWB 239.47
BLL BWS 547.58
BLM CEP 42.78
BLN CXZ 179.93
BLO BFZ 269.56
BLP BYS 853.50
BLQ AAD 119.57
BLR BZY 256.88
BLS CSA 628.64
BLT AHK 797.24
BLU AKY 859.15
BLV AFX 821.38
BLW BWL 238.37
BLX CMG 597.50
BLY CNR 447.41
BLZ BOB 251.76
BMA ALB 636.33
BMB CVN 446.59
BMC AZC 521.10
BMD CCO 358.87
BME CJD 254.83
BMF CDL 487.36
BMG AQJ 475.93
BMH BFD 191.43
BMI BUY 385.97
BMJ BHG 210.01
BMK BRV 715.04
BML BZQ 150.17
BMM BDN 23.98
BMN CFK 313.64
BMO AUV 644.75
BMP ARS 485.33
BMQ BTW 691.80
BMR BXQ 287.23
BMS BLA 558.44
BMT CMP 167.08
BMU CDO 185.52
BMV ATD 514.72
BMW BLG 562.21
BMX BTA 93.06
BMY AZJ 21.88
BMZ CNC 520.34
BNA CCA 497.98
BNB AVC 853.86
BNC BCX 581.71
BND BMK 320.40
BNE BJP 896.44
BNF BTG 998.10
BNG AUO 64.69
BNH AZP 128.18
BNI CGS 94.96
BNJ APK 763.45
BNK CRX 113.22
BNL CUY 268.97
BNM AHV 147.85
BNN BYZ 950.66
BNO CDX 828.62
BNP BMY 233.70
BNQ BDC 468.57
BNR CBC 339.13
BNS ALT 418.59
BNT CTJ 767.31
BNU AUV 792.31
BNV CNK 230.31
BNW AHT 50.75
BNX BJO 643.66
BNY BOX 817.27
BNZ CBY 753.24
BOA AIO 848.80
BOB AAS 96.50
BOC BBO 547.77
BOD CYQ 493.43
BOE BOZ 845.21
BOF CBA 30.04
BOG BJH 978.22
BOH ABH 527.59
BOI CFI 192.23
BOJ BFA 202.41
BOK CKM 60.31
BOL CED 168.58
BOM BVC 118.26
BON CVH 583.83
BOO CNR 382.87
BOP CGM 193.07
BOQ BKV 522.81
BOR BOT 718.90
BOS CIZ 500.26
BOT AVB 774.03
BOU APR 266.51
BOV BFT 822.78
BOW CBL 336.77
BOX BWE 968.58
BOY BQH 808.79
BOZ BWO 4.10
BPA BWU 930.76
BPB BIS 470.73
BPC CRO 148.45
BPD CFC 148.07
BPE AEL 555.16
BPF AFT 90.04
BPG BVY 794.24
BPH CRI 475.60
BPI BLB 348.32
BPJ CSP 803.50
BPK BLS 217.23
BPL CPK 186.60
BPM CTY 303.69
BPN CJO 573.56
BPO CPY 653.22
BPP API 308.62
BPQ ALC 750.34
BPR AIX 633.00
BPS ARR 160.96
BPT CXO 757.16
BPU BPG 285.74
BPV ANN 121.14
BPW ABA 983.19
BPX CFV 701.53
BPY BGX 9.90
BPZ BOZ 436.90
BQA BBA 458.35
BQB AVK 108.17
BQC AUF 105.72
BQD AJM 201.56
BQE CAT 422.91
BQF CMN 669.96
BQG AYY 616.59
BQH CPN 399.09
BQI CKN 411.08
BQJ CMS 657.20
BQK AHE 330.49
BQL COE 103.85
BQM AUT 702.12
BQN CHU 972.23
BQO BWR 637.46
BQP CWK 266.19
BQQ CQU 359.67
BQR AUU 184.90
BQS AYX 383.13
BQT BKU 551.38
BQU AFF 60.18
BQV CMN 306.34
BQW BIL 687.83
BQX CUT 617.84
BQY CTK 188.72
BQZ CVX 959.26
BRA AZN 380.42
BRB AXJ 996.42
BRC BUV 195.54
BRD BYB 121.61
BRE BRP 704.83
BRF ARI 92.35
BRG COJ 252.73
BRH CJB 693.42
BRI BGB 827.24
BRJ BCO 605.43
BRK CGV 793.20
BRL ADZ 727.71
BRM AVK 944.24
BRN CLK 743.47
BRO AYB 784.12
BRP BFB 815.70
BRQ CIE 256.40
BRR BTZ 574.14
BRS CWD 107.81
BRT CKE 284.96
BRU ADF 410.60
BRV AMW 204.19
BRW AEJ 981.60
BRX BIB 462.73
BRY BSY 469.46
BRZ AKG 859.79
BSA BCX 306.98
BSB CES 907.22
BSC CCR 96.59
BSD AQH 711.23
BSE BOF 843.98
BSF ABM 372.30
BSG BMI 666.09
BSH CPA 552.33
BSI ADD 969.24
BSJ AMY 913.59
BSK AFA 705.16
BSL BAB 206.70
BSM BXV 342.43
BSN CHI 659.14
BSO AJL 64.64
BSP CGG 401.60
BSQ BVM 433.48
BSR CAH 113.40
BSS BFJ 450.07
BST CCB 737.83
BSU CAN 678.60
BSV BFP 394.44
BSW BNP 547.14
BSX CLA 445.64
BSY AKP 274.63
BSZ CYD 223.26
BTA BMJ 804.05
BTB BMM 830.08
BTC BXA 426.44
BTD BQQ 285.42
BTE BOP 335.20
BTF BHK 189.74
BTG AMD 322.89
BTH BXX 462.28
BTI ANZ 291.30
BTJ BZR 230.54
BTK BGS 800.80
BTL BEO 641.64
BTM BCA 898.80
BTN CNF 27.84
BTO BQT 610.03
BTP CCE 316.74
BTQ BNV 844.60
BTR BQM 887.61
BTS BYD 963.09
BTT AGZ 762.13
BTU BTR 187.10
BTV BMM 230.50
BTW CKS 418.54
BTX BLX 446.49
BTY CNN 383.45
BTZ AQJ 843.28
BUA BGM 629.06
BUB BEG 532.20
BUC AAE 735.73
BUD BJS 28.33
BUE ATN 974.67
BUF CWD 923.37
BUG CDU 655.42
BUH AHW 90.32
BUI CJL 147.53
BUJ CEI 243.85
BUK CQT 967.84
BUL BMD 8.16
BUM CRX 657.69
BUN AEK 259.76
BUO AZG 458.72
BUP BDY 388.92
BUQ AEI 915.00
BUR CCV 779.16
BUS BCV 644.68
BUT ALC 323.54
BUU BOD 152.57
BUV BSH 602.15
BUW BVZ 384.93
BUX CJM 917.07
BUY ADP 708.44
BUZ CYF 194.14
BVA AIW 798.80
BVB CLM 389.72
BVC BYA 983.99
BVD AKM 661.16
BVE BMU 243.08
BVF AGE 530.50
BVG BLF 134.72
BVH ALH 135.86
BVI CWQ 117.16
BVJ BYZ 725.81
BVK BEQ 33.35
BVL CSI 568.29
BVM AUQ 183.96
BVN CJG 114.26
BVO BGJ 809.81
BVP BUS 895.73
BVQ BIN 674.23
BVR CSD 228.64
BVS BZG 261.97
BVT BGZ 100.95
BVU CFP 103.41
BVV AGJ 990.18
BVW BKU 104.64
BVX AUN 344.58
BVY BNZ 912.48
BVZ AWL 982.10
BWA CBN 561.88
BWB AWM 527.63
BWC AHH 362.80
BWD BWN 965.28
BWE ADY 113.82
BWF BFA 944.75
BWG CNB 473.51
BWH CVD 609.81
